step,loss,grad_norm_avg,elems_per_s,ms_step
1,1.039004,0.043561,3756991.12,139.55
2,1.036923,0.036348,12179108.29,43.05
3,1.031216,0.036346,15429360.07,33.98
4,1.034379,0.037307,15400940.26,34.04
5,1.035155,0.037067,15438676.01,33.96
6,1.034736,0.036501,15420271.63,34.00
7,1.035826,0.036062,15331255.18,34.20
8,1.033212,0.035739,15393393.69,34.06
9,1.029430,0.035440,15384347.56,34.08
10,1.035373,0.035956,15384778.08,34.08
11,1.034257,0.036040,15324203.87,34.21
12,1.033839,0.035828,15340131.95,34.18
13,1.035091,0.035837,15275237.95,34.32
14,1.031712,0.035420,15452453.85,33.93
15,1.032658,0.035424,15636720.34,33.53
16,1.027704,0.035164,15261456.42,34.35
17,1.030560,0.035201,15424273.55,33.99
18,1.026197,0.034788,15542887.42,33.73
19,1.030378,0.035031,15378537.80,34.09
20,1.024496,0.034817,15403313.57,34.04
21,1.029832,0.035178,15385423.92,34.08
22,1.027283,0.034723,15406982.85,34.03
23,1.026341,0.034517,15363603.22,34.13
24,1.027101,0.034476,15500051.14,33.82
25,1.027155,0.034521,15397920.75,34.05
26,1.027046,0.034344,15424489.93,33.99
27,1.022768,0.034134,15392208.47,34.06
28,1.025060,0.034272,15386392.78,34.07
29,1.028492,0.034543,15454843.07,33.92
30,1.030023,0.034371,15405471.76,34.03
31,1.027676,0.034224,15397058.24,34.05
32,1.026798,0.034165,15435966.72,33.97
33,1.023533,0.033863,15189037.32,34.52
34,1.024881,0.034087,15557182.16,33.70
35,1.022250,0.033744,15466147.54,33.90
36,1.022714,0.033792,15423948.99,33.99
37,1.023788,0.033953,15418866.04,34.00
38,1.023464,0.033777,15428927.04,33.98
39,1.023013,0.033835,15422542.73,33.99
40,1.024776,0.033740,15381657.31,34.09
41,1.024696,0.033579,15394794.64,34.06
42,1.020606,0.033511,15443229.74,33.95
43,1.025023,0.033677,15416920.26,34.01
44,1.022537,0.033399,15423840.81,33.99
45,1.021856,0.033356,15437808.93,33.96
46,1.022934,0.033305,15411949.96,34.02
47,1.019728,0.033274,15399646.04,34.05
48,1.025204,0.033488,15337243.20,34.18
49,1.023835,0.033253,15394255.78,34.06
50,1.024674,0.033222,15395225.75,34.06
