step,loss,grad_norm_avg,elems_per_s,ms_step
1,1.039004,0.038613,3376930.32,155.26
2,1.036923,0.036348,15951943.41,32.87
3,1.031210,0.036346,18475305.65,28.38
4,1.034369,0.037305,18476081.80,28.38
5,1.035139,0.037063,18386482.07,28.51
6,1.034709,0.036495,18534010.31,28.29
7,1.035794,0.036056,18430709.61,28.45
8,1.033170,0.035731,18521989.94,28.31
9,1.029387,0.035433,18538854.09,28.28
10,1.035327,0.035947,18491618.36,28.35
11,1.034215,0.036030,18401252.31,28.49
12,1.033795,0.035815,18468168.20,28.39
13,1.035028,0.035826,18485555.99,28.36
14,1.031652,0.035406,18539166.68,28.28
15,1.032595,0.035409,18407875.84,28.48
16,1.027637,0.035148,18503755.03,28.33
17,1.030512,0.035187,18457937.13,28.40
18,1.026136,0.034772,18491307.37,28.35
19,1.030319,0.035015,18441683.77,28.43
20,1.024445,0.034801,18537447.57,28.28
21,1.029782,0.035161,18410341.63,28.48
22,1.027206,0.034707,18533541.69,28.29
23,1.026270,0.034499,18445551.02,28.42
24,1.027035,0.034460,18473908.76,28.38
25,1.027093,0.034505,18471581.08,28.38
26,1.026989,0.034327,18496906.75,28.34
27,1.022717,0.034116,18563894.54,28.24
28,1.025004,0.034255,18511075.85,28.32
29,1.028445,0.034524,18388480.82,28.51
30,1.029965,0.034353,18565148.34,28.24
31,1.027632,0.034206,18256579.49,28.72
32,1.026738,0.034147,18492084.86,28.35
33,1.023478,0.033844,18412191.40,28.48
34,1.024814,0.034071,18454064.68,28.41
35,1.022207,0.033728,18476237.03,28.38
36,1.022669,0.033773,18536510.01,28.28
37,1.023745,0.033932,18388019.53,28.51
38,1.023422,0.033759,18515595.84,28.32
39,1.022959,0.033815,18481205.98,28.37
40,1.024734,0.033724,18468478.41,28.39
41,1.024642,0.033561,18387712.02,28.51
42,1.020552,0.033492,18527139.62,28.30
43,1.024985,0.033659,18428083.93,28.45
44,1.022494,0.033382,18501264.16,28.34
45,1.021811,0.033338,18477323.76,28.37
46,1.022885,0.033288,18453909.82,28.41
47,1.019678,0.033256,18520118.04,28.31
48,1.025165,0.033468,18497995.91,28.34
49,1.023794,0.033233,18519494.16,28.31
50,1.024635,0.033207,18539479.28,28.28
